title;link;election_type;date;speaker;place;text;order;strategy1;strategy2
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Good evening. I'm Norah O'Donnell and thank you for joining us for tonight's CBS News vice presidential debate. We want to welcome our viewers on CBS, on other networks here in the U.S. and around the world. We have a consequential night ahead, and our focus is the issues that matter to you, the voter. Let's introduce the candidates: Minnesota's democratic governor Tim Walz and Ohio's republican senator JD Vance. Tonight, meeting for the first time.;1;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;I'm Margaret Brennan. In order to have a thoughtful and civil debate, these are the rules that both campaigns have agreed to. Questions will be directed at one candidate who will have two minutes to respond. The other candidate will be allowed two minutes for rebuttal. Then each candidate will get another minute to make further points, with an additional 1 minute each at the discretion of the moderator. The primary role of the moderators is to facilitate the debate between the candidates, enforce the rules, and provide the candidates with the opportunity to fact check claims made by each other.;2;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;CBS News reserves the right to mute the candidates microphones to maintain decorum. We have not shared the questions or topics with the campaigns. The stage is set. Governor, Senator, thank you for joining us. Let's get started. Tonight, our country is facing several unfolding crises. The Middle East is on the brink of war. Americans are suffering from the catastrophic impact of Hurricane Helene and now a labor strike as 25,000 dock workers from Maine to Texas are picketing. We're going to begin tonight with the Middle East, Margaret.;3;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Thank you, Norah. Earlier today, Iran launched its largest attack yet on Israel. But that attack failed thanks to joint U.S. and Israeli defensive action. President Biden has deployed more than 40,000 U.S. military personnel and assets to that region over the past year to try to prevent a regional war. Iran is weakened, but the U.S. still considers it the largest state sponsor of terrorism in the world, and it has drastically reduced the time it would take to develop a nuclear weapon. It is down now to one or two weeks time. Governor Walz, if you are the final voice in the situation room, would you support or oppose a preemptive strike by Israel on Iran? You have two minutes.;4;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;Well, thank you. And thank you for those joining at home tonight. Let's keep in mind where this started. October 7th, Hamas terrorists massacred over 1400 Israelis and took prisoners. Iran, or, Israel's ability to be able to defend itself is absolutely fundamental, getting its hostages back, fundamental, and ending the humanitarian crisis in Gaza. But the expansion of Israel and its proxies is an absolute, fundamental necessity for the United States to have the steady leadership there. You saw it experienced today, where, along with our Israeli partners and our coalition, able to stop the incoming attack. But what's fundamental here is that steady leadership is going to matter. It's clear. And the world saw it on that debate stage a few weeks ago. A nearly 80 year old Donald Trump talking about crowd sizes is not what we need in this moment. But it's not just that. It's those that were closest to Donald Trump that understand how dangerous he is when the world is this dangerous. His Chief of Staff, John Kelly, said that he was the most flawed humanity being he'd ever met. And both of his Secretaries of Defense and his national security advisors said he should be nowhere near the White House. Now, the person closest to them, to Donald Trump, said he's unfit for the highest office. That was Senator Vance. What we've seen out of Vice President Harris is we've seen steady leadership. We've seen a calmness that is able to be able to draw on the coalitions, to bring them together, understanding that our allies matter. When our allies see Donald Trump turn towards Vladimir Putin, turn towards North Korea, when we start to see that type of fickleness around holding the coalitions together, we will stay committed. And as the Vice President said today, is we will protect our forces and our allied forces, and there will be consequences.;5;accusation;presentation
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Governor, your time is up. Senator Vance, the same question, would you support or oppose a preemptive strike by Israel on Iran? You have two minutes.;6;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;So, Margaret, I want to answer the question. First of all, thanks, Governor. Thanks to CBS for hosting the debate. And thanks most importantly to the American people who are watching this evening and caring enough about this country to pay attention to this vice presidential debate. I want to answer the question, but I want to actually give an introduction to myself a little bit because I recognize a lot of Americans don't know who either one of us are. I was raised in a working class family. My mother required food assistance for periods of her life. My grandmother required Social Security help to raise me. And she raised me in part because my own mother struggled with addiction for a big chunk of my early life. I went to college on the GI bill after I enlisted in the Marine Corps and served in Iraq. And so I stand here asking to be your Vice President with extraordinary gratitude for this country, for the American dream that made it possible for me to live my dreams. And most importantly, I know that a lot of you are worried about the chaos in the world and the feeling that the American Dream is unattainable. I want to try to convince you tonight over the next 90 minutes that if we get better leadership in the White House, if we get Donald Trump back in the White House, the American Dream is going to be attainable once again. Now, to answer this particular question, we have to remember that as much as Governor Walz just accused Donald Trump of being an agent of chaos, Donald Trump actually delivered stability in the world, and he did it by establishing effective deterrence. People were afraid of stepping out of line. Iran, which launched this attack, has received over $100 billion in unfrozen assets thanks to the Kamala Harris administration. What do they use that money for? They use it to buy weapons that they're now launching against our allies and, God forbid, potentially launching against the United States as well. Donald Trump recognized that for people to fear the United States, you needed peace through strength. They needed to recognize that if they got out of line, the United States' global leadership would put stability and peace back in the world. Now, you asked about a preemptive strike, Margaret, and I want to answer the question. Look, it is up to Israel what they think they need to do to keep their country safe. And we should support our allies wherever they are when they're fighting the bad guys. I think that's the right approach to take with the Israel question.;7;presentation;appeal
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Thank you, Senator. Governor Walz, do you care to respond to any of the allegations?;8;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;Well, look, Donald Trump was in office. We'll sometimes hear a revisionist history, but when Donald Trump was in office, it was Donald Trump who��� we had a coalition of nations that had boxed Iran's nuclear program in in the inability to advance it. Donald Trump pulled that program and put nothing else in its place. So Iran is closer to a nuclear weapon than they were before because of Donald Trump's fickle leadership. And when Iran shot down an American aircraft in international airspace, Donald Trump tweeted, because that's the standard diplomacy of Donald Trump. And when Iranian missiles did fall near U.S. troops and they received traumatic brain injuries, Donald Trump wrote it off as headaches. Look, our allies understand that Donald Trump is fickle. He will go to whoever has the most flattery or where it makes sense to him. Steady leadership like you witnessed today, like you witnessed in April. Both Iranian attacks were repelled. Our coalition is strong, and we need the steady leadership that Kamala Harris is providing.;9;accusation;presentation
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Senator Vance, the U.S. did have a diplomatic deal with Iran to temporarily pause parts of its nuclear program, and President Trump did exit that deal. He recently said just five days ago, the U.S. must now make a diplomatic deal with Iran because the consequences are impossible. Did he make a mistake? You have 1 minute.;10;-;
